sku,name,name_ev,unit,category,store_id,price,sysPrice,dicountPercent,date_begin,date_end,url,image,promotion,crawled_at
226834,Ba rọi heo C.P,Ba rọi pig C.P,Kg,Fresh Meat,6817190008501df0f1637f2a,57600,57600,0,2025-05-07,2025-05-07,https://www.bachhoaxanh.com/thit-heo/ba-roi-heo-1kg,https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8781/226834/bhx/ba-roi-heo-1kg_202504141045001213.jpg,Ưu đãi khi mua kèm,2025-05-06T19:05:44.781402
233782,Thịt heo xay C.P,Ground pork C.P.,Kg,Fresh Meat,6817190008501df0f1637f2a,42900,42900,0,2025-05-07,2025-05-07,https://www.bachhoaxanh.com/thit-heo/nac-heo-xay-1kg,https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8781/233782/bhx/nac-heo-xay-1kg_202504141056176616.jpg,Ưu đãi khi mua kèm,2025-05-06T19:05:45.141073
233783,Chân giò heo C.P,Pork legs C.P,Kg,Fresh Meat,6817190008501df0f1637f2a,37200,37200,0,2025-05-07,2025-05-07,https://www.bachhoaxanh.com/thit-heo/chan-gio-heo-1kg,https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8781/233783/bhx/chan-gio-heo-1kg_202504121355029934.jpg,Ưu đãi khi mua kèm,2025-05-06T19:05:45.497242
226856,Sườn non heo C.P,Pork Rib C.P,Kg,Fresh Meat,6817190008501df0f1637f2a,68400,68400,0,2025-05-07,2025-05-07,https://www.bachhoaxanh.com/thit-heo/suon-non-heo-1kg,https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8781/226856/bhx/suon-non-heo-1kg_202504121357367580.jpg,Ưu đãi khi mua kèm,2025-05-06T19:05:45.855961
233766,Sườn que heo nhập khẩu,Imported pork ribs,Kg,Fresh Meat,6817190008501df0f1637f2a,24600,24600,0,2025-05-07,2025-05-07,https://www.bachhoaxanh.com/thit-heo/xuong-que-heo-nhap-khau-1kg,https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8781/233766/bhx/233766_202505020928196333.jpg,Ưu đãi khi mua kèm,2025-05-06T19:05:46.186701
334679,Móng giò heo Ace Foods khay 500g,Ace Foods pork ham tray 500g,Khay,Fresh Meat,6817190008501df0f1637f2a,45000,50000,10,2025-05-07,2025-05-07,https://www.bachhoaxanh.com/thit-heo/chan-gio-heo-duc-khay-500g,https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8781/334679/bhx/334679_202504291338014322.jpg,,2025-05-06T19:05:46.682456
334316,Combo thịt - Hộp quà Như Ý 1.2kg,Meat combo - Gift box Nhu Y 1.2kg,Hộp,Fresh Meat,6817190008501df0f1637f2a,279000,299000,7,2025-05-07,2025-05-07,https://www.bachhoaxanh.com/thit-heo/combo-thit-hop-qua-nhu-y,https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8781/334316/bhx/334316_202504291328342223.jpg,,2025-05-06T19:05:47.254906
334315,Sườn heo Brazil Ace Foods khay 300g,Brazilian pork ribs Ace Foods tray 300g,Khay,Fresh Meat,6817190008501df0f1637f2a,53000,59000,10,2025-05-07,2025-05-07,https://www.bachhoaxanh.com/thit-heo/suon-heo-brazil-khay-300g,https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8781/334315/bhx/334315_202504291337186292.jpg,,2025-05-06T19:05:47.887687
334314,Ba chỉ heo Nga Ace Foods khay 300g,Three point Russian pig Ace Foods tray 300g,Khay,Fresh Meat,6817190008501df0f1637f2a,52000,59000,12,2025-05-07,2025-05-07,https://www.bachhoaxanh.com/thit-heo/ba-chi-heo-nga-khay-300g,https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8781/334314/bhx/334314_202504291336567352.jpg,,2025-05-06T19:05:48.537620
325688,Phèo non heo NT Pearly Food 300g,Newborn Pig NT Pearly Food 300g,Khay,Fresh Meat,6817190008501df0f1637f2a,57000,59800,5,2025-05-07,2025-05-07,https://www.bachhoaxanh.com/thit-heo/pheo-non-heo-300g,https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8781/325688/bhx/325688_202504251304070520.jpg,,2025-05-06T19:05:49.017404
